listing_name,style_ids,subject,category,description,medium,height,width,depth,year,status,framed,price,image_url
Give me a Reason,7,Cities,Photography, Edition of 2 ,Silver Gelatin Print,29.2,20.2,,2017,For Sale,1,140,https://i0.wp.com/lukashauser.art/wp-content/uploads/2017/08/Give-Me-a-Reason-e1504438812511.jpg
Beach Vibes in the City,7,Cities,Photography, Edition of 2 ,Silver Gelatin Print,20.2,29.2,,2017,For Sale,1,140,https://i2.wp.com/lukashauser.art/wp-content/uploads/2017/01/Beach-Vibes-in-the-City-1-e1504464826324.jpg?fit=957%2C1090
Thunderstruck,13,Nature,Painting,"“Thunderstruck” is based on a photo that I took in Styria on a hot Summer evening that finally cooled down after this thunderstorm. “Lightening in a Summer Sky” or “Styrian Thunder” would probably be better names, but I like AC/DC.",Oil on Canvas,76,102,4,2019,For Sale,0,1100,https://i2.wp.com/lukashauser.art/wp-content/uploads/2019/04/Thunderstruck-e1554675695591.jpg?fit=957%2C1090
"Peace – Burial at Sea, after William Turner",13,Seascape,Painting,Lukas Hauser's interpretation of Joseph Mallord William Turner' Peace - Burial at Sea.,Oil on Canvas,50,70,2.5,2018,Sold,1,,https://i1.wp.com/lukashauser.art/wp-content/uploads/2019/02/Peace-Burial-at-Sea-e1549673688333.jpg?fit=957%2C1090
Lit,13,Beach,Painting,This painting is based on a photograph that I took when I was on a surf holiday in Nicaragua.,Oil on Canvas,50,70,2.5,2018,For Sale,1,710,https://i0.wp.com/lukashauser.art/wp-content/uploads/2019/02/Lit-e1549673663233.jpg?fit=957%2C1090
"Skull of a Skeleton with Burning Cigarette, after Van Gogh",13,Portrait,Painting,"My interpretation of Vincent Van Gogh's ""Skull of a Skeleton with Burning Cigarette""",Oil on Canvas,60,50,2.5,2018,For Sale,1,660,https://i0.wp.com/lukashauser.art/wp-content/uploads/2019/02/Skull-of-a-Skeleton-with-Burning-Cigarette-e1549673637489.jpg?fit=957%2C1090
Contemporary Henry VIII,18,Portrait,Painting,"AKA Donald J. Trump. My interpretation of ""Portrait of Henry VIII"" by Hans Holbein the Younger. It's framed in a gold-stained wooden floater frame.",Oil on Canvas,60,50,2.5,2017,For Sale,1,660,https://i1.wp.com/lukashauser.art/wp-content/uploads/2019/02/Contemporary-Henry-VIII-e1549673763285.jpg?fit=957%2C1090
"Metamorphosis of Narcissus, after Salvador Dali",21,Classical Mythology,Painting,"My interpretation of Metamorphosis of Narcissus by after Salvador Dali. Quite a bit darker... When you look from different angles, you can see the blues and other colours from the background shine through the top glaze.",Oil on Canvas,76,102,4,2017,For Sale,0,1100,https://i1.wp.com/lukashauser.art/wp-content/uploads/2019/03/Metamorphosis-of-Narcissus-e1551646196169.jpg?fit=957%2C1090
"Exploding Sunflowers, after Vincent Van Gogh",13,Floral,Painting,"While I was on the quest to discover my own artistic style, I was trying to paint like big masters, while adding a twist. This is one of my earlier paintings, where I was experimenting with thick impasto.",Oil on Canvas,60,50,2.5,2017,For Sale,1,660,https://i2.wp.com/lukashauser.art/wp-content/uploads/2019/02/Exploding-Sunflower-Vase-e1549673856443.jpg?fit=957%2C1090
Escaping the Gilded Cage,9,Fantasy,Painting,"Have you ever felt like you are trapped in the gilded cage?
This was the title piece of Lukas’ debut exhibition.",Oil on Canvas,100,80,2.5,2018,For Sale,1,1100,https://i1.wp.com/lukashauser.art/wp-content/uploads/2019/02/Escaping-the-Gilded-Cage-e1549753597357.jpg?fit=957%2C1090
"Only from inside, a hamster wheel looks like a career ladder",9,Fantasy,Painting,"Only from inside, a hamster wheel looks like a career ladder.",Oil on Canvas,20,25,2.5,2016,Sold,1,,https://i2.wp.com/lukashauser.art/wp-content/uploads/2017/01/Hamster-Wheel-Painting-scaled.jpg?fit=957%2C1090
My first ever self portrait,18,Portrait,Painting,"This was my first ever self portrait, before I took any painting classes. My goal was to create a piece where I can capture my likeness.",Oil on Canvas,60,51,2.5,2017,For Sale,1,710,https://i0.wp.com/lukashauser.art/wp-content/uploads/2019/02/My-first-ever-self-portrait-e1549753612248.jpg?fit=984%2C1090
Portrait of Lisa,18,Portrait,Painting,Painted off a poorly lit photograph during a painting holiday with my dad and friends.,Oil on Canvas,60,50,2.5,2018,Not For Sale,1,,https://i2.wp.com/lukashauser.art/wp-content/uploads/2019/03/Portrait-of-Lisa-e1572819715440.jpg?fit=979%2C1090
